Date,Demand,Promotion,DayOfWeek,Month
2026-01-01,106.48,0.0,Thursday,1
2026-01-02,108.06,0.0,Friday,1
2026-01-03,124.74,0.0,Saturday,1
2026-01-04,125.71,0.0,Sunday,1
2026-01-05,96.65,0.0,Monday,1
2026-01-06,116.24,15.87,Tuesday,1
2026-01-07,143.6,27.99,Wednesday,1
2026-01-08,128.68,15.31,Thursday,1
2026-01-09,139.64,29.55,Friday,1
2026-01-10,145.34,17.73,Saturday,1
2026-01-11,113.27,0.0,Sunday,1
2026-01-12,92.65,0.0,Monday,1
2026-01-13,83.46,0.0,Tuesday,1
2026-01-14,109.86,0.0,Wednesday,1
2026-01-15,111.32,0.0,Thursday,1
2026-01-16,99.28,0.0,Friday,1
2026-01-17,116.27,0.0,Saturday,1
2026-01-18,107.23,0.0,Sunday,1
2026-01-19,89.85,0.0,Monday,1
2026-01-20,82.28,0.0,Tuesday,1
2026-01-21,94.45,0.0,Wednesday,1
2026-01-22,105.76,0.0,Thursday,1
2026-01-23,124.36,0.0,Friday,1
2026-01-24,119.19,0.0,Saturday,1
2026-01-25,111.7,0.0,Sunday,1
2026-01-26,90.85,0.0,Monday,1
2026-01-27,93.85,0.0,Tuesday,1
2026-01-28,107.44,0.0,Wednesday,1
2026-01-29,106.77,0.0,Thursday,1
2026-01-30,106.38,0.0,Friday,1
2026-01-31,115.1,0.0,Saturday,1
2026-02-01,116.0,0.0,Sunday,2
2026-02-02,96.52,0.0,Monday,2
2026-02-03,104.24,0.0,Tuesday,2
2026-02-04,105.57,0.0,Wednesday,2
2026-02-05,138.71,24.94,Thursday,2
2026-02-06,156.08,19.68,Friday,2
2026-02-07,154.27,17.77,Saturday,2
2026-02-08,152.84,29.54,Sunday,2
2026-02-09,138.23,28.83,Monday,2
2026-02-10,105.45,0.0,Tuesday,2
2026-02-11,105.93,0.0,Wednesday,2
2026-02-12,100.39,0.0,Thursday,2
2026-02-13,110.38,0.0,Friday,2
2026-02-14,122.04,0.0,Saturday,2
2026-02-15,125.45,0.0,Sunday,2
2026-02-16,101.82,0.0,Monday,2
2026-02-17,89.5,0.0,Tuesday,2
2026-02-18,105.54,0.0,Wednesday,2
2026-02-19,103.12,0.0,Thursday,2
2026-02-20,105.78,0.0,Friday,2
2026-02-21,124.74,0.0,Saturday,2
2026-02-22,121.47,0.0,Sunday,2
2026-02-23,103.54,0.0,Monday,2
2026-02-24,94.51,0.0,Tuesday,2
2026-02-25,100.74,0.0,Wednesday,2
2026-02-26,108.97,0.0,Thursday,2
2026-02-27,119.5,0.0,Friday,2
2026-02-28,120.81,0.0,Saturday,2
2026-03-01,117.63,0.0,Sunday,3
2026-03-02,94.1,0.0,Monday,3
2026-03-03,97.67,0.0,Tuesday,3
2026-03-04,114.88,0.0,Wednesday,3
2026-03-05,122.89,0.0,Thursday,3
2026-03-06,119.25,0.0,Friday,3
2026-03-07,155.43,16.79,Saturday,3
2026-03-08,153.7,25.7,Sunday,3
2026-03-09,144.05,26.56,Monday,3
2026-03-10,114.28,22.41,Tuesday,3
2026-03-11,133.53,15.38,Wednesday,3
2026-03-12,105.59,0.0,Thursday,3
2026-03-13,127.98,0.0,Friday,3
2026-03-14,137.53,0.0,Saturday,3
2026-03-15,123.93,0.0,Sunday,3
2026-03-16,100.56,0.0,Monday,3
2026-03-17,96.35,0.0,Tuesday,3
2026-03-18,102.69,0.0,Wednesday,3
2026-03-19,115.89,0.0,Thursday,3
2026-03-20,113.85,0.0,Friday,3
2026-03-21,122.36,0.0,Saturday,3
2026-03-22,122.01,0.0,Sunday,3
2026-03-23,108.38,0.0,Monday,3
2026-03-24,105.16,0.0,Tuesday,3
2026-03-25,107.79,0.0,Wednesday,3
2026-03-26,118.67,0.0,Thursday,3
2026-03-27,116.12,0.0,Friday,3
2026-03-28,124.14,0.0,Saturday,3
2026-03-29,125.5,0.0,Sunday,3
2026-03-30,101.53,0.0,Monday,3
2026-03-31,104.99,0.0,Tuesday,3
2026-04-01,119.72,0.0,Wednesday,4
2026-04-02,113.15,0.0,Thursday,4
2026-04-03,103.29,0.0,Friday,4
2026-04-04,136.67,0.0,Saturday,4
2026-04-05,125.57,0.0,Sunday,4
2026-04-06,127.54,20.06,Monday,4
2026-04-07,144.1,29.14,Tuesday,4
2026-04-08,127.47,25.55,Wednesday,4
2026-04-09,140.02,20.45,Thursday,4
2026-04-10,133.23,19.51,Friday,4
2026-04-11,137.16,0.0,Saturday,4
2026-04-12,146.55,0.0,Sunday,4
2026-04-13,107.79,0.0,Monday,4
2026-04-14,114.02,0.0,Tuesday,4
2026-04-15,113.17,0.0,Wednesday,4
2026-04-16,107.8,0.0,Thursday,4
2026-04-17,128.72,0.0,Friday,4
2026-04-18,136.25,0.0,Saturday,4
2026-04-19,129.08,0.0,Sunday,4
2026-04-20,97.87,0.0,Monday,4
2026-04-21,116.91,0.0,Tuesday,4
2026-04-22,99.2,0.0,Wednesday,4
2026-04-23,116.3,0.0,Thursday,4
2026-04-24,133.1,0.0,Friday,4
2026-04-25,122.11,0.0,Saturday,4
2026-04-26,119.08,0.0,Sunday,4
2026-04-27,105.7,0.0,Monday,4
2026-04-28,105.61,0.0,Tuesday,4
2026-04-29,101.45,0.0,Wednesday,4
2026-04-30,117.21,0.0,Thursday,4
2026-05-01,116.12,0.0,Friday,5
2026-05-02,139.57,0.0,Saturday,5
2026-05-03,124.05,0.0,Sunday,5
2026-05-04,122.43,0.0,Monday,5
2026-05-05,110.45,0.0,Tuesday,5
2026-05-06,145.6,28.87,Wednesday,5
2026-05-07,156.94,28.16,Thursday,5
2026-05-08,148.05,27.26,Friday,5
2026-05-09,153.62,23.33,Saturday,5
2026-05-10,151.95,16.4,Sunday,5
2026-05-11,103.54,0.0,Monday,5
2026-05-12,125.11,0.0,Tuesday,5
2026-05-13,127.66,0.0,Wednesday,5
2026-05-14,115.31,0.0,Thursday,5
2026-05-15,130.73,0.0,Friday,5
2026-05-16,145.64,0.0,Saturday,5
2026-05-17,130.78,0.0,Sunday,5
2026-05-18,114.75,0.0,Monday,5
2026-05-19,112.77,0.0,Tuesday,5
2026-05-20,104.69,0.0,Wednesday,5
2026-05-21,123.48,0.0,Thursday,5
2026-05-22,130.75,0.0,Friday,5
2026-05-23,137.75,0.0,Saturday,5
2026-05-24,119.32,0.0,Sunday,5
2026-05-25,101.92,0.0,Monday,5
2026-05-26,103.15,0.0,Tuesday,5
2026-05-27,119.42,0.0,Wednesday,5
2026-05-28,127.2,0.0,Thursday,5
2026-05-29,128.08,0.0,Friday,5
2026-05-30,144.53,0.0,Saturday,5
2026-05-31,126.09,0.0,Sunday,5
2026-06-01,114.17,0.0,Monday,6
2026-06-02,108.17,0.0,Tuesday,6
2026-06-03,115.74,0.0,Wednesday,6
2026-06-04,131.81,0.0,Thursday,6
2026-06-05,155.32,24.47,Friday,6
2026-06-06,191.48,26.92,Saturday,6
2026-06-07,161.44,22.39,Sunday,6
2026-06-08,128.7,17.93,Monday,6
2026-06-09,143.34,15.36,Tuesday,6
2026-06-10,115.83,0.0,Wednesday,6
2026-06-11,129.93,0.0,Thursday,6
2026-06-12,130.46,0.0,Friday,6
2026-06-13,148.37,0.0,Saturday,6
2026-06-14,138.47,0.0,Sunday,6
2026-06-15,113.3,0.0,Monday,6
2026-06-16,110.62,0.0,Tuesday,6
2026-06-17,107.48,0.0,Wednesday,6
2026-06-18,117.73,0.0,Thursday,6
2026-06-19,132.04,0.0,Friday,6
2026-06-20,138.65,0.0,Saturday,6
2026-06-21,121.13,0.0,Sunday,6
2026-06-22,111.26,0.0,Monday,6
2026-06-23,116.33,0.0,Tuesday,6
2026-06-24,110.09,0.0,Wednesday,6
2026-06-25,121.39,0.0,Thursday,6
2026-06-26,127.33,0.0,Friday,6
2026-06-27,131.7,0.0,Saturday,6
2026-06-28,136.22,0.0,Sunday,6
2026-06-29,118.37,0.0,Monday,6
